,category,gender,id_kream,url_img,brand_en,brand_ko,item_en,item_ko,style_code,retail_price,color,size,type,price,size_new,price_min,price_max
0,신발,남성,12831,https://kream-phinf.pstatic.net/MjAyNDA2MjJfMTMx/MDAxNzE5MDI5ODMzOTg2.8TsdHQrXy3-tcIMHceZOG5eBSdl_-ybtjFhLVIZDOXEg.TUQIZNOi5ptP4zsfcdsi3EBAgTwh2jruSeKGnbMekaQg.PNG/a_56586590956f4404862cbdaeff6a5e63.png?type=m_webp,Nike,나이키,Nike Air Force 1 '07 Low White,나이키 에어포스 1 '07 로우 화이트,CW2288-111,"139,000원",['white'],240,일반배송,146000,240,151336,153818
1,신발,남성,12831,https://kream-phinf.pstatic.net/MjAyNDA2MjJfMTMx/MDAxNzE5MDI5ODMzOTg2.8TsdHQrXy3-tcIMHceZOG5eBSdl_-ybtjFhLVIZDOXEg.TUQIZNOi5ptP4zsfcdsi3EBAgTwh2jruSeKGnbMekaQg.PNG/a_56586590956f4404862cbdaeff6a5e63.png?type=m_webp,Nike,나이키,Nike Air Force 1 '07 Low White,나이키 에어포스 1 '07 로우 화이트,CW2288-111,"139,000원",['white'],245,일반배송,129000,245,134064,136257
2,신발,남성,12831,https://kream-phinf.pstatic.net/MjAyNDA2MjJfMTMx/MDAxNzE5MDI5ODMzOTg2.8TsdHQrXy3-tcIMHceZOG5eBSdl_-ybtjFhLVIZDOXEg.TUQIZNOi5ptP4zsfcdsi3EBAgTwh2jruSeKGnbMekaQg.PNG/a_56586590956f4404862cbdaeff6a5e63.png?type=m_webp,Nike,나이키,Nike Air Force 1 '07 Low White,나이키 에어포스 1 '07 로우 화이트,CW2288-111,"139,000원",['white'],250,일반배송,115000,250,119840,121795
3,신발,남성,12831,https://kream-phinf.pstatic.net/MjAyNDA2MjJfMTMx/MDAxNzE5MDI5ODMzOTg2.8TsdHQrXy3-tcIMHceZOG5eBSdl_-ybtjFhLVIZDOXEg.TUQIZNOi5ptP4zsfcdsi3EBAgTwh2jruSeKGnbMekaQg.PNG/a_56586590956f4404862cbdaeff6a5e63.png?type=m_webp,Nike,나이키,Nike Air Force 1 '07 Low White,나이키 에어포스 1 '07 로우 화이트,CW2288-111,"139,000원",['white'],255,일반배송,105000,255,109680,111465
4,신발,남성,12831,https://kream-phinf.pstatic.net/MjAyNDA2MjJfMTMx/MDAxNzE5MDI5ODMzOTg2.8TsdHQrXy3-tcIMHceZOG5eBSdl_-ybtjFhLVIZDOXEg.TUQIZNOi5ptP4zsfcdsi3EBAgTwh2jruSeKGnbMekaQg.PNG/a_56586590956f4404862cbdaeff6a5e63.png?type=m_webp,Nike,나이키,Nike Air Force 1 '07 Low White,나이키 에어포스 1 '07 로우 화이트,CW2288-111,"139,000원",['white'],260,일반배송,114000,260,118824,120762
5,신발,남성,12831,https://kream-phinf.pstatic.net/MjAyNDA2MjJfMTMx/MDAxNzE5MDI5ODMzOTg2.8TsdHQrXy3-tcIMHceZOG5eBSdl_-ybtjFhLVIZDOXEg.TUQIZNOi5ptP4zsfcdsi3EBAgTwh2jruSeKGnbMekaQg.PNG/a_56586590956f4404862cbdaeff6a5e63.png?type=m_webp,Nike,나이키,Nike Air Force 1 '07 Low White,나이키 에어포스 1 '07 로우 화이트,CW2288-111,"139,000원",['white'],265,일반배송,113000,265,117808,119729
6,신발,남성,12831,https://kream-phinf.pstatic.net/MjAyNDA2MjJfMTMx/MDAxNzE5MDI5ODMzOTg2.8TsdHQrXy3-tcIMHceZOG5eBSdl_-ybtjFhLVIZDOXEg.TUQIZNOi5ptP4zsfcdsi3EBAgTwh2jruSeKGnbMekaQg.PNG/a_56586590956f4404862cbdaeff6a5e63.png?type=m_webp,Nike,나이키,Nike Air Force 1 '07 Low White,나이키 에어포스 1 '07 로우 화이트,CW2288-111,"139,000원",['white'],270,일반배송,114000,270,118824,120762
7,신발,남성,12831,https://kream-phinf.pstatic.net/MjAyNDA2MjJfMTMx/MDAxNzE5MDI5ODMzOTg2.8TsdHQrXy3-tcIMHceZOG5eBSdl_-ybtjFhLVIZDOXEg.TUQIZNOi5ptP4zsfcdsi3EBAgTwh2jruSeKGnbMekaQg.PNG/a_56586590956f4404862cbdaeff6a5e63.png?type=m_webp,Nike,나이키,Nike Air Force 1 '07 Low White,나이키 에어포스 1 '07 로우 화이트,CW2288-111,"139,000원",['white'],275,일반배송,113000,275,117808,119729
8,신발,남성,12831,https://kream-phinf.pstatic.net/MjAyNDA2MjJfMTMx/MDAxNzE5MDI5ODMzOTg2.8TsdHQrXy3-tcIMHceZOG5eBSdl_-ybtjFhLVIZDOXEg.TUQIZNOi5ptP4zsfcdsi3EBAgTwh2jruSeKGnbMekaQg.PNG/a_56586590956f4404862cbdaeff6a5e63.png?type=m_webp,Nike,나이키,Nike Air Force 1 '07 Low White,나이키 에어포스 1 '07 로우 화이트,CW2288-111,"139,000원",['white'],280,일반배송,116000,280,120856,122828
9,신발,남성,12831,https://kream-phinf.pstatic.net/MjAyNDA2MjJfMTMx/MDAxNzE5MDI5ODMzOTg2.8TsdHQrXy3-tcIMHceZOG5eBSdl_-ybtjFhLVIZDOXEg.TUQIZNOi5ptP4zsfcdsi3EBAgTwh2jruSeKGnbMekaQg.PNG/a_56586590956f4404862cbdaeff6a5e63.png?type=m_webp,Nike,나이키,Nike Air Force 1 '07 Low White,나이키 에어포스 1 '07 로우 화이트,CW2288-111,"139,000원",['white'],285,일반배송,102000,285,106632,108366
